127.0.0.1 - - [08/Mar/2021:10:21:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:21:24 +0530] "GET /banking-application-final/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:21:24 +0530] "GET /banking-application-final/LoginFile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:21:24 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:21:28 +0530] "GET /banking-application-final/Register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:22:22 +0530] "POST /banking-application-final/registerservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:22:22 +0530] "GET /banking-application-final/RegistrationSuccess.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:22:22 +0530] "GET /banking-application-final/error.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:22:24 +0530] "GET /banking-application-final/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:22:24 +0530] "GET /banking-application-final/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:23:54 +0530] "POST /banking-application-final/loginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:23:54 +0530] "GET /banking-application-final/homepage.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:23:54 +0530] "GET /banking-application-final/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:24:10 +0530] "GET /banking-application-final/transfer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:24:10 +0530] "GET /banking-application-final/path/to/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [08/Mar/2021:10:25:19 +0530] "POST /banking-application-final/TransferServlet HTTP/1.1" 200 186
